medpred,infpred,suppred
11.267850746268657,3.66,26.67
10.306288557213932,3.765,20.7
10.541815920398012,3.954,25.537
10.35773631840796,3.51,25.537
10.067139303482586,3.293,23.91
9.599796019900499,3.057,20.578
8.815646766169154,2.814,20.347
8.676407960199006,2.967,17.702
8.535218905472638,2.894,17.441
7.986094527363184,2.642,17.3
7.8674029850746265,2.638,16.5
8.19605472636816,2.372,15.881
8.15728855721393,2.39,16.036
7.700412935323382,2.387,16.036
7.0887761194029855,1.983,15.758
6.401905472636815,1.919,12.943
6.25444278606965,1.83,11.707
5.867039800995025,1.83,11.381
5.834308457711442,1.713,11.545
5.80379104477612,1.713,12.0
5.743925373134329,1.824,11.255
5.7531592039801,1.641,12.0
5.741243781094528,1.3,11.3
5.497233830845771,1.22,11.3
5.260885572139303,1.3,14.441
5.442557213930348,1.417,22.048
5.153328358208955,1.46,20.707
4.743522388059701,1.35,10.897
4.338910447761194,1.11,10.815
4.783159203980099,1.087,12.688
4.218621890547264,0.738,10.815
4.297686567164179,0.637,16.3
3.728144278606965,0.637,9.046
3.8167562189054727,0.65,9.9
4.312024875621891,0.745,10.0
3.9711144278606962,0.88,9.9
3.906248756218906,0.887,18.7
3.31807960199005,0.933,7.81
2.847298507462687,0.887,7.59
2.651601990049751,0.621,6.69
2.6692089552238802,0.619,7.59
2.588034825870647,0.621,7.6
2.414870646766169,0.561,7.6
2.2694925373134325,0.582,6.75
2.2289552238805967,0.582,7.27
2.175273631840796,0.641,5.711
2.018970149253731,0.618,5.711
2.1114825870646765,0.621,5.711
2.008179104477612,0.618,5.711
1.9985124378109453,0.618,5.711
1.8635572144278607,0.591,4.29
1.9341293532338308,0.591,4.727
1.8180348268656716,0.511,4.25
1.7292039815920401,0.498,3.46
1.7410597034825872,0.44,6.14
1.5584875641791043,0.436,3.99
1.588094528358209,0.436,5.15
1.588094528358209,0.436,5.15
1.5956815925373133,0.442,4.89
1.634771144278607,0.479,5.15
1.5367263681592038,0.488,4.83
1.4864925373134328,0.48,4.83
1.4649552238805972,0.474,7.95
1.4033781094527364,0.473,7.55
1.4142636815920395,0.474,4.73
1.7221293547263683,0.469,3.72
1.745149255721393,0.44,6.14
1.6459651741293528,0.456,5.15
1.4007960199004976,0.474,7.55
1.3389004975124377,0.472,7.14
1.217686567164179,0.446,6.11
1.1742437810945274,0.442,5.25
1.1308855721393034,0.438,5.24
1.0182736318407961,0.428,4.79
0.9619353233830845,0.42,4.52
0.9171293532338308,0.411,2.95
0.8721343283582088,0.392,2.84
0.847402985074627,0.389,2.68
0.7954079601990051,0.389,2.56
0.8160000000000001,0.389,2.58
0.7530149253731343,0.382,2.56
0.708268656716418,0.381,2.53
0.6747661691542288,0.381,1.84
0.6416218905472637,0.333,0.945
0.7363830845771143,0.381,2.56
0.6652139303482588,0.344,1.758
0.5972636815920398,0.323,0.86
0.5677412935323383,0.323,0.809
0.5634875621890547,0.323,0.809
0.5557164179104478,0.323,0.807
0.5470746268656715,0.32,0.807
0.5358955223880597,0.32,0.797
0.5245771144278607,0.315,0.791
0.5462686567164178,0.32,0.807
0.5495273631840796,0.32,0.807
0.5329004975124378,0.32,0.797
0.7882338308457711,0.382,2.56
0.7248507462686566,0.381,2.56
1.2780497512437812,0.446,6.73
1.5372587079601991,0.436,3.41
1.4258706467661693,0.474,7.55
2.020910447761194,0.618,5.711
5.382800995024875,1.417,17.4
3.784950248756219,0.887,15.878
2.65771144278607,0.621,6.69
5.220786069651742,1.46,20.707
4.00618407960199,0.88,8.951
3.080681592039801,0.933,6.69
1.7167860711442786,0.469,3.616
2.8549402985074623,0.887,7.59
4.740696517412935,1.35,10.897
5.882567164179106,1.713,11.4
5.477069651741294,1.46,22.048
2.829094527363184,0.69,7.59
3.722323383084577,0.65,9.046
5.648527363184079,1.3,13.5
4.026621890547264,0.88,8.951
1.8145472646766168,0.498,4.25
1.6192288562189054,0.442,4.89
1.4060149253731344,0.466,7.55
1.4080845771144277,0.473,7.55
1.7172835835820894,0.467,3.616
4.338910447761194,1.11,10.815
2.8683184079601984,0.84,7.59
1.7370298527363184,0.459,3.99
1.519094527363184,0.479,4.83
1.5990945278606963,0.442,4.89
10.690572139303484,3.565,22.647
8.156487562189056,2.39,16.5
4.488726368159203,1.087,10.815
2.176646766169154,0.612,5.711
1.7010248771144278,0.471,5.75
1.6496766169154229,0.456,5.15
1.6754477611940297,0.49,5.62
4.027149253731344,0.88,8.951
2.4471691542288556,0.582,7.6
2.000686567164179,0.618,5.711
1.6902686587064677,0.459,5.75
1.530990049751244,0.479,4.83
1.314905472636816,0.466,4.5
1.5962537318407957,0.442,4.89
10.359771144278605,3.765,20.7
10.531497512437811,3.954,25.537
8.541298507462686,2.372,16.5
5.113776119402983,1.46,20.707
2.5289800995024874,0.619,6.75
1.7632935338308457,0.469,3.72
1.7704825885572137,0.459,6.14
4.00618407960199,0.88,8.951
2.5683582089552237,0.621,7.59
2.129,0.621,5.711
1.8332139313432836,0.498,4.25
1.745149255721393,0.44,6.14
1.5391243791044775,0.436,4.89
1.6569751243781095,0.479,5.15
1.519094527363184,0.479,4.83
4.522661691542289,0.633,30.2
2.6071044776119403,0.621,6.75
1.7375273646766172,0.498,3.46
1.643786069651741,0.456,5.15
1.4627164179104477,0.474,7.95
1.5174726368159204,0.48,8.98
4.104373134328358,0.633,9.9
5.815457711442787,1.713,11.545
4.479542288557214,1.106,10.815
2.4425174129353233,0.582,7.6
1.689751245771144,0.459,5.75
1.537004975124378,0.48,4.83
1.4127661691542288,0.473,7.55
1.4101741293532337,0.473,7.55
1.3758756218905472,0.458,7.53
1.3605074626865672,0.458,7.14
1.2712537313432837,0.446,6.73
1.209004975124378,0.446,5.59
1.145004975124378,0.446,5.24
1.1302437810945274,0.438,5.24
0.9999751243781094,0.428,4.79
0.9599751243781094,0.42,4.52
0.937049751243781,0.42,2.95
0.8848457711442785,0.411,2.84
0.9175820895522387,0.411,2.95
0.8258855721393034,0.389,2.65
0.7599651741293532,0.382,2.56
0.7245671641791045,0.381,2.56
0.6979402985074626,0.381,2.53
0.6660149253731344,0.344,1.758
0.640636815920398,0.333,0.945
0.6179154228855722,0.328,0.91
1.5292089552238806,0.479,4.83
1.2780497512437812,0.446,6.73
0.7887263681592039,0.382,2.56
0.6244179104477612,0.33,0.92
0.5686218905472638,0.323,0.809
0.5588457711442786,0.323,0.809
0.5492835820895523,0.323,0.807
0.5493731343283582,0.32,0.807
0.5308407960199005,0.32,0.797
0.5210597014925373,0.314,0.791
0.5146965174129353,0.315,0.79
0.5094486486486487,0.314,0.791
0.5059937888198758,0.315,0.79
0.49504137931034486,0.314,0.781
0.48631199999999997,0.314,0.777
0.5500597014925374,0.323,0.807
0.9306965174129352,0.411,2.95
0.8132587064676617,0.389,2.58
0.5664278606965174,0.323,0.807
0.547955223880597,0.323,0.807
0.5071226993865031,0.315,0.79
0.4767473684210526,0.312,0.777
0.4453650793650793,0.29,0.777
0.4353725490196078,0.312,0.507
0.4405128205128205,0.275,0.556
0.496488888888889,0.314,0.781
0.45728767123287667,0.29,0.777
0.4405128205128205,0.275,0.556
0.44508000000000003,0.275,0.507
0.4457619047619048,0.275,0.49
0.4611176470588235,0.379,0.49
0.4637692307692309,0.452,0.471
0.46290909090909105,0.452,0.471
0.4618571428571428,0.452,0.471
0.4622,0.452,0.471
0.471,,
0.471,,
0.471,,
0.5364925373134328,0.32,0.797
0.5656567164179105,0.323,0.809
0.48355284552845523,0.314,0.777
0.44804347826086954,0.275,0.49
0.471,,
0.471,,
0.471,,
0.471,,
0.471,,
0.471,,
0.471,,
0.471,,
1.8109850756218906,0.498,4.25
1.932497512437811,0.612,4.727
1.4056915422885572,0.466,4.73
0.671492537313433,0.38,1.84
0.4984832214765101,0.314,0.781
2.3374875621890547,0.589,7.6
2.3503930348258706,0.589,7.6
1.6517164179104478,0.479,5.15
3.3287761194029852,0.933,7.81
2.2208308457711445,0.582,6.8
1.6477263681592038,0.479,5.15
1.1274378109452736,0.439,5.24
0.6735621890547263,0.381,1.84
0.5611741293532337,0.323,0.809
0.5353681592039801,0.32,0.797
0.5146716417910447,0.314,0.79
0.6189154228855721,0.328,0.91
0.5592238805970149,0.323,0.809
0.5714378109452737,0.323,0.836
1.4000547263681593,0.473,7.55
1.1308855721393034,0.438,5.24
